389-ds-base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389-ds-base-debuginfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389-ds-base-debugsource,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389-ds-base-devel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389-ds-base-help,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389-ds-base-legacy-tools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389-ds-base-snmp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-FOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BareBonesBrowserLaunch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BareBonesBrowserLaunch-javadoc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUnit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUnit-debuginfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUnit-debugsource,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUnit-devel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUnit-help,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cython,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cython-debuginfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cython-debugsource,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GConf2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GConf2-debuginfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GConf2-debugsource,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GConf2-devel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GeoIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GeoIP-GeoLite-data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GeoIP-debuginfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GeoIP-debugsource,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GeoIP-devel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GeoIP-help,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GraphicsMagick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GraphicsMagick-c++,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GraphicsMagick-c++-devel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GraphicsMagick-debuginfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GraphicsMagick-debugsource,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GraphicsMagick-devel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GraphicsMagick-help,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GraphicsMagick-perl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HdrHistogram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HdrHistogram-javadoc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HikariCP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HikariCP-help,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ImageMagick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ImageMagick-c++,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ImageMagick-c++-devel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ImageMagick-debuginfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ImageMagick-debugsource,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ImageMagick-devel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ImageMagick-help,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ImageMagick-perl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Imath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Imath-debuginfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Imath-debugsource,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Imath-devel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Judy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Judy-debuginfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Judy-debugsource,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Judy-devel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Judy-help,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LibRaw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LibRaw-debuginfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LibRaw-debugsource,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LibRaw-devel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ModemManager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ModemManager-debuginfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ModemManager-debugsource,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ModemManager-devel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
